Item,Method,ItemUsage
Item1,1,56.7
Item2,1,14.2
Item3,1,23.8
Item4,1,61.7
Item5,1,62.6
Item6,1,7.5
Item7,1,4
Item8,1,68.8
Item9,1,15
Item10,1,89
Item11,1,86.4
Item12,1,70.5
Item13,1,84.3
Item14,1,55
Item15,1,98.8
Item16,1,94.7
Item17,1,82.1
Item18,1,61.8
Item19,1,32
Item20,1,96
Item21,1,85.1
Item22,1,57.8
Item23,1,29.5
Item24,1,42.5
Item1,2,44.2
Item2,2,7.9
Item3,2,19.4
Item4,2,55.4
Item5,2,55.2
Item6,2,5.8
Item7,2,3
Item8,2,56.7
Item9,2,10.6
Item10,2,86.7
Item11,2,78.3
Item12,2,64.1
Item13,2,83.2
Item14,2,49.3
Item15,2,95.2
Item16,2,94
Item17,2,76.2
Item18,2,54.4
Item19,2,29.2
Item20,2,95.8
Item21,2,79.8
Item22,2,46.3
Item23,2,12.7
Item24,2,32.4
Item1,3,37.5
Item2,3,7.7
Item3,3,19
Item4,3,53.9
Item5,3,51.8
Item6,3,6.3
Item7,3,2.7
Item8,3,45.8
Item9,3,8.1
Item10,3,83.5
Item11,3,71.3
Item12,3,62.8
Item13,3,80.8
Item14,3,49.9
Item15,3,87.1
Item16,3,91.1
Item17,3,70.3
Item18,3,49.8
Item19,3,27.6
Item20,3,94
Item21,3,73.8
Item22,3,38.3
Item23,3,7
Item24,3,29.7
Item1,4,33
Item2,4,5.4
Item3,4,14.9
Item4,4,52.3
Item5,4,49.2
Item6,4,7.6
Item7,4,2.7
Item8,4,37.8
Item9,4,6.5
Item10,4,82.8
Item11,4,65
Item12,4,60
Item13,4,79.2
Item14,4,49.6
Item15,4,81.1
Item16,4,88.2
Item17,4,67.9
Item18,4,47.3
Item19,4,26.1
Item20,4,95.4
Item21,4,67.1
Item22,4,34.3
Item23,4,4.8
Item24,4,26.2
